PanProtein	has_length	translates_from_PanGene	member_of_PanProteinCluster
PAN6967	249	pan_6967	PANCL2948
PAN7119	153	pan_7119	PANCL1490
PAN11044	311	pan_11044	PANCL12755
PAN2963	178	pan_2963	PANCL11841
PAN10234	351	pan_10234	PANCL12840
PAN13580	165	pan_13580	PANCL8781
PAN2809	398	pan_2809	PANCL13812
PAN3493	398	pan_3493	PANCL13812
PAN6355	1015	pan_6355	PANCL6355
PAN6791	111	pan_6791	PANCL5777
PAN3478	398	pan_3478	PANCL13812
PAN1898	380	pan_1898	PANCL8002
PAN8350	65	pan_8350	PANCL8350
PAN13183	55	pan_13183	PANCL10753
PAN4351	398	pan_4351	PANCL13812
PAN8148	164	pan_8148	PANCL7976
PAN59	292	pan_59	PANCL5365
PAN9448	287	pan_9448	PANCL1266
PAN9746	350	pan_9746	PANCL12746
PAN11675	304	pan_11675	PANCL4078
PAN4312	640	pan_4312	PANCL8755
PAN7442	351	pan_7442	PANCL13763
PAN1068	250	pan_1068	PANCL385
PAN8157	326	pan_8157	PANCL10001
PAN3256	384	pan_3256	PANCL6368
PAN8359	147	pan_8359	PANCL8359
PAN474	288	pan_474	PANCL3089
PAN5087	640	pan_5087	PANCL8755
PAN9676	356	pan_9676	PANCL12746
PAN11251	40	pan_11251	PANCL12013
PAN6528	1038	pan_6528	PANCL5759
PAN3743	649	pan_3743	PANCL3743
PAN270	268	pan_270	PANCL8189
PAN1888	276	pan_1888	PANCL281
PAN9381	303	pan_9381	PANCL9381
PAN1196	247	pan_1196	PANCL519
PAN725	290	pan_725	PANCL211
PAN4759	398	pan_4759	PANCL13812
PAN6980	430	pan_6980	PANCL5103
PAN7684	164	pan_7684	PANCL11260
PAN9725	165	pan_9725	PANCL7353
PAN5533	155	pan_5533	PANCL4108
PAN8822	312	pan_8822	PANCL8822
PAN5406	346	pan_5406	PANCL5406
PAN12009	217	pan_12009	PANCL12009
PAN2908	383	pan_2908	PANCL13812
PAN4736	382	pan_4736	PANCL8002
PAN6649	537	pan_6649	PANCL6649
PAN1363	292	pan_1363	PANCL5365
PAN8912	263	pan_8912	PANCL8912
PAN4114	280	pan_4114	PANCL4236
PAN3678	398	pan_3678	PANCL13812
PAN13139	293	pan_13139	PANCL13139
PAN983	267	pan_983	PANCL12643
PAN1299	287	pan_1299	PANCL1266
PAN3949	287	pan_3949	PANCL1266
PAN11906	249	pan_11906	PANCL11906
PAN5361	183	pan_5361	PANCL5339
PAN5563	311	pan_5563	PANCL5563
PAN9770	640	pan_9770	PANCL8755
PAN8130	113	pan_8130	PANCL8130
PAN956	251	pan_956	PANCL956
PAN8294	1020	pan_8294	PANCL12208
PAN2066	267	pan_2066	PANCL12643
PAN8176	389	pan_8176	PANCL8002
PAN11899	169	pan_11899	PANCL7421
PAN10950	372	pan_10950	PANCL12746
PAN5719	266	pan_5719	PANCL8
PAN10302	377	pan_10302	PANCL7971
PAN4461	382	pan_4461	PANCL8002
PAN10996	640	pan_10996	PANCL8755
PAN5191	300	pan_5191	PANCL2571
PAN10072	291	pan_10072	PANCL10011
PAN4984	218	pan_4984	PANCL4984
PAN5756	347	pan_5756	PANCL5756
PAN3510	396	pan_3510	PANCL3140
PAN5969	386	pan_5969	PANCL5969
PAN7037	142	pan_7037	PANCL6517
PAN10364	308	pan_10364	PANCL8002
PAN13431	170	pan_13431	PANCL8755
PAN12402	287	pan_12402	PANCL1266
PAN13625	480	pan_13625	PANCL12755
PAN3695	542	pan_3695	PANCL5757
PAN11410	383	pan_11410	PANCL13812
PAN8268	384	pan_8268	PANCL6368
PAN4753	391	pan_4753	PANCL13812
PAN3316	247	pan_3316	PANCL519
PAN3498	266	pan_3498	PANCL211
PAN1923	140	pan_1923	PANCL2844
PAN2759	202	pan_2759	PANCL8
PAN12557	367	pan_12557	PANCL12557
PAN821	287	pan_821	PANCL1266
PAN3648	124	pan_3648	PANCL3632
PAN813	287	pan_813	PANCL1266
PAN3584	384	pan_3584	PANCL6368
PAN10233	163	pan_10233	PANCL10233
PAN12194	276	pan_12194	PANCL11647
PAN3503	299	pan_3503	PANCL77
PAN12747	164	pan_12747	PANCL9618
PAN4010	379	pan_4010	PANCL941
PAN1252	277	pan_1252	PANCL1383
PAN13203	275	pan_13203	PANCL1383
PAN4735	309	pan_4735	PANCL1666
PAN4203	669	pan_4203	PANCL1787
PAN11165	290	pan_11165	PANCL9105
PAN5302	669	pan_5302	PANCL1787
PAN3856	380	pan_3856	PANCL8002
PAN12546	336	pan_12546	PANCL12546
PAN9284	89	pan_9284	PANCL9284
PAN6947	252	pan_6947	PANCL6947
PAN1253	275	pan_1253	PANCL1383
PAN13253	296	pan_13253	PANCL6752
PAN2663	384	pan_2663	PANCL6368
PAN2709	197	pan_2709	PANCL2709
PAN10560	542	pan_10560	PANCL5757
PAN2363	292	pan_2363	PANCL144
PAN9921	330	pan_9921	PANCL9921
PAN12646	291	pan_12646	PANCL144
PAN13802	292	pan_13802	PANCL5365
PAN2894	391	pan_2894	PANCL13812
PAN10881	300	pan_10881	PANCL10289
PAN7528	389	pan_7528	PANCL8062
PAN6065	712	pan_6065	PANCL4379
PAN13542	265	pan_13542	PANCL475
PAN7390	354	pan_7390	PANCL12755
PAN9346	145	pan_9346	PANCL9984
PAN10642	303	pan_10642	PANCL5365
PAN12385	382	pan_12385	PANCL8002
PAN13436	417	pan_13436	PANCL5237
PAN2339	384	pan_2339	PANCL6368
PAN10711	37	pan_10711	PANCL10711
PAN8862	165	pan_8862	PANCL7353
PAN8300	609	pan_8300	PANCL8300
PAN2154	398	pan_2154	PANCL13812
PAN13843	161	pan_13843	PANCL8206
PAN3571	302	pan_3571	PANCL6752
PAN7612	419	pan_7612	PANCL10126
PAN293	287	pan_293	PANCL1266
PAN12443	398	pan_12443	PANCL13812
PAN12388	292	pan_12388	PANCL144
PAN5577	395	pan_5577	PANCL5577
PAN1024	493	pan_1024	PANCL4418
PAN6037	264	pan_6037	PANCL8
PAN3414	294	pan_3414	PANCL3591
PAN8750	307	pan_8750	PANCL8210
PAN7356	303	pan_7356	PANCL9719
PAN1533	293	pan_1533	PANCL4078
PAN11085	278	pan_11085	PANCL11085
PAN1966	366	pan_1966	PANCL2258
PAN3347	398	pan_3347	PANCL13812
PAN11654	209	pan_11654	PANCL9601
PAN643	287	pan_643	PANCL1266
PAN1920	293	pan_1920	PANCL1920
PAN179	382	pan_179	PANCL8002
PAN1063	147	pan_1063	PANCL1063
PAN11390	261	pan_11390	PANCL11390
PAN10794	139	pan_10794	PANCL8117
PAN7900	312	pan_7900	PANCL8432
PAN12536	163	pan_12536	PANCL8755
PAN11420	294	pan_11420	PANCL6752
PAN12233	400	pan_12233	PANCL10617
PAN6610	263	pan_6610	PANCL5280
PAN6906	119	pan_6906	PANCL6906
PAN13832	354	pan_13832	PANCL12755
PAN478	291	pan_478	PANCL1830
PAN361	294	pan_361	PANCL6752
PAN2393	402	pan_2393	PANCL1673
PAN12899	297	pan_12899	PANCL7537
PAN10908	166	pan_10908	PANCL12075
PAN1182	292	pan_1182	PANCL5365
PAN10261	165	pan_10261	PANCL4918
PAN8479	140	pan_8479	PANCL8479
PAN13558	164	pan_13558	PANCL9618
PAN8730	387	pan_8730	PANCL8002
PAN6381	1051	pan_6381	PANCL5783
PAN10534	173	pan_10534	PANCL8147
PAN13795	372	pan_13795	PANCL8755
PAN5372	405	pan_5372	PANCL13090
PAN12686	292	pan_12686	PANCL144
PAN7529	265	pan_7529	PANCL7529
PAN10568	287	pan_10568	PANCL1266
PAN7910	325	pan_7910	PANCL12776
PAN12293	395	pan_12293	PANCL12293
PAN4554	398	pan_4554	PANCL13812
PAN7152	295	pan_7152	PANCL9315
PAN8757	335	pan_8757	PANCL8002
PAN6454	381	pan_6454	PANCL8002
PAN1414	275	pan_1414	PANCL1383
PAN252	383	pan_252	PANCL13812
PAN2312	288	pan_2312	PANCL1751
PAN8297	380	pan_8297	PANCL8297
PAN6200	211	pan_6200	PANCL13412
PAN9175	267	pan_9175	PANCL8432
PAN3492	398	pan_3492	PANCL13812
PAN2267	274	pan_2267	PANCL1383
PAN4424	397	pan_4424	PANCL3630
PAN13640	165	pan_13640	PANCL7449
PAN9594	389	pan_9594	PANCL8002
PAN12616	215	pan_12616	PANCL2748
PAN2827	382	pan_2827	PANCL8002
PAN12794	329	pan_12794	PANCL12928
PAN2629	215	pan_2629	PANCL2748
PAN13124	454	pan_13124	PANCL13124
PAN9473	349	pan_9473	PANCL9473
PAN8861	165	pan_8861	PANCL7449
PAN13218	539	pan_13218	PANCL5757
PAN2195	287	pan_2195	PANCL1266
PAN10473	165	pan_10473	PANCL10885
PAN11961	640	pan_11961	PANCL8755
PAN9543	351	pan_9543	PANCL10457
PAN7304	282	pan_7304	PANCL5183
PAN8798	642	pan_8798	PANCL2911
PAN279	580	pan_279	PANCL279
PAN2572	294	pan_2572	PANCL6752
PAN7246	129	pan_7246	PANCL7246
PAN11958	297	pan_11958	PANCL7537
PAN9368	165	pan_9368	PANCL12116
PAN3612	398	pan_3612	PANCL13812
PAN10154	367	pan_10154	PANCL9813
PAN13044	1044	pan_13044	PANCL13044
PAN71	151	pan_71	PANCL7007
PAN2682	215	pan_2682	PANCL2748
PAN7116	265	pan_7116	PANCL11647
PAN14000	154	pan_14000	PANCL9369
PAN7369	327	pan_7369	PANCL12776
PAN11709	168	pan_11709	PANCL9618
PAN13417	389	pan_13417	PANCL8002
PAN2062	275	pan_2062	PANCL1383
PAN3550	294	pan_3550	PANCL6752
PAN5381	264	pan_5381	PANCL8
PAN5056	147	pan_5056	PANCL1063
PAN14051	172	pan_14051	PANCL8
PAN7662	159	pan_7662	PANCL7662
PAN6838	105	pan_6838	PANCL6218
PAN1507	164	pan_1507	PANCL6344
PAN5420	162	pan_5420	PANCL5420
PAN911	287	pan_911	PANCL1266
PAN3299	542	pan_3299	PANCL5757
PAN13532	297	pan_13532	PANCL7537
PAN11784	292	pan_11784	PANCL5365
PAN1155	287	pan_1155	PANCL1266
PAN1869	275	pan_1869	PANCL1383
PAN4001	382	pan_4001	PANCL8002
PAN2049	286	pan_2049	PANCL2049
PAN8236	322	pan_8236	PANCL7929
PAN1625	287	pan_1625	PANCL1266
PAN6808	278	pan_6808	PANCL6315
PAN9512	222	pan_9512	PANCL7857
PAN10751	50	pan_10751	PANCL10751
PAN3776	293	pan_3776	PANCL1418
PAN11491	134	pan_11491	PANCL11616
PAN12641	383	pan_12641	PANCL13812
PAN1367	292	pan_1367	PANCL144
PAN980	271	pan_980	PANCL10748
PAN1637	276	pan_1637	PANCL1383
PAN8076	284	pan_8076	PANCL7602
PAN14076	171	pan_14076	PANCL10885
PAN6183	719	pan_6183	PANCL6183
PAN10496	166	pan_10496	PANCL10055
PAN13221	267	pan_13221	PANCL12643
PAN9090	274	pan_9090	PANCL1383
PAN1815	266	pan_1815	PANCL211
PAN12987	164	pan_12987	PANCL9618
PAN9904	281	pan_9904	PANCL3751
PAN4362	384	pan_4362	PANCL6368
PAN1607	288	pan_1607	PANCL3089
PAN8329	291	pan_8329	PANCL5365
PAN3330	288	pan_3330	PANCL3089
PAN12177	287	pan_12177	PANCL1266
PAN8598	135	pan_8598	PANCL11813
PAN5080	263	pan_5080	PANCL8
PAN5872	398	pan_5872	PANCL13812
PAN4489	291	pan_4489	PANCL6752
PAN993	287	pan_993	PANCL1266
PAN8539	355	pan_8539	PANCL12755
PAN1570	303	pan_1570	PANCL5509
PAN10341	191	pan_10341	PANCL7682
PAN11625	66	pan_11625	PANCL8437
PAN1598	284	pan_1598	PANCL1053
PAN2683	250	pan_2683	PANCL363
PAN11354	354	pan_11354	PANCL12840
PAN11076	279	pan_11076	PANCL10457
PAN13856	168	pan_13856	PANCL10476
PAN1623	215	pan_1623	PANCL2748
PAN7261	669	pan_7261	PANCL1787
PAN13354	325	pan_13354	PANCL12776
PAN9937	382	pan_9937	PANCL8002
PAN204	287	pan_204	PANCL1266
PAN7347	162	pan_7347	PANCL7857
PAN4033	398	pan_4033	PANCL13812
PAN3138	263	pan_3138	PANCL5280
PAN175	281	pan_175	PANCL1383
PAN11042	163	pan_11042	PANCL9618
PAN2379	384	pan_2379	PANCL6368
PAN8984	167	pan_8984	PANCL10885
PAN9063	336	pan_9063	PANCL9063
PAN8961	144	pan_8961	PANCL7752
PAN13901	106	pan_13901	PANCL10746
PAN6035	413	pan_6035	PANCL1856
PAN8333	294	pan_8333	PANCL8333
PAN7841	640	pan_7841	PANCL8755
PAN5304	640	pan_5304	PANCL8755
PAN2620	291	pan_2620	PANCL1830
PAN11613	59	pan_11613	PANCL11613
PAN789	382	pan_789	PANCL8002
PAN7943	287	pan_7943	PANCL7943
PAN9895	464	pan_9895	PANCL6347
PAN5547	162	pan_5547	PANCL5526
PAN13991	640	pan_13991	PANCL8755
PAN13624	350	pan_13624	PANCL12746
PAN2030	287	pan_2030	PANCL1266
PAN1313	288	pan_1313	PANCL1266
PAN2347	274	pan_2347	PANCL1383
PAN13655	389	pan_13655	PANCL8002
PAN7001	488	pan_7001	PANCL7001
PAN11311	122	pan_11311	PANCL13182
PAN2826	200	pan_2826	PANCL8
PAN4385	258	pan_4385	PANCL4385
PAN4356	260	pan_4356	PANCL2410
PAN3306	266	pan_3306	PANCL8432
PAN3892	382	pan_3892	PANCL8002
PAN2677	640	pan_2677	PANCL8755
PAN5728	185	pan_5728	PANCL8
PAN8903	182	pan_8903	PANCL8903
PAN10199	385	pan_10199	PANCL8002
PAN3262	246	pan_3262	PANCL8637
PAN7365	164	pan_7365	PANCL9618
PAN923	287	pan_923	PANCL1266
PAN1852	285	pan_1852	PANCL1185
PAN6490	352	pan_6490	PANCL6747
PAN10882	162	pan_10882	PANCL7954
PAN1895	246	pan_1895	PANCL519
PAN26	292	pan_26	PANCL5365
PAN938	382	pan_938	PANCL8002
PAN3423	398	pan_3423	PANCL13812
PAN943	271	pan_943	PANCL10748
PAN158	287	pan_158	PANCL1266
PAN1799	302	pan_1799	PANCL1813
PAN11838	185	pan_11838	PANCL8
PAN5332	142	pan_5332	PANCL5332
PAN5093	263	pan_5093	PANCL8
PAN5967	351	pan_5967	PANCL2132
PAN6042	406	pan_6042	PANCL5707
PAN2772	246	pan_2772	PANCL8637
PAN8707	167	pan_8707	PANCL7449
PAN1864	277	pan_1864	PANCL11647
PAN4839	266	pan_4839	PANCL8432
PAN4355	322	pan_4355	PANCL11951
PAN6092	344	pan_6092	PANCL4133
PAN1700	387	pan_1700	PANCL13812
PAN4530	640	pan_4530	PANCL8755
PAN1655	215	pan_1655	PANCL2748
PAN2580	275	pan_2580	PANCL1383
PAN2712	178	pan_2712	PANCL11841
PAN5314	448	pan_5314	PANCL5951
PAN9691	165	pan_9691	PANCL9691
PAN4952	1046	pan_4952	PANCL5925
PAN3349	287	pan_3349	PANCL1266
PAN5007	486	pan_5007	PANCL3003
PAN3007	293	pan_3007	PANCL1418
PAN6522	264	pan_6522	PANCL8
PAN7188	203	pan_7188	PANCL1458
PAN13743	165	pan_13743	PANCL8781
PAN10791	149	pan_10791	PANCL11616
PAN2233	401	pan_2233	PANCL1673
PAN3153	398	pan_3153	PANCL13812
PAN102	244	pan_102	PANCL102
PAN13986	273	pan_13986	PANCL11716
PAN5630	477	pan_5630	PANCL1733
PAN4742	398	pan_4742	PANCL13812
PAN2259	265	pan_2259	PANCL3481
PAN3226	275	pan_3226	PANCL1383
PAN3728	250	pan_3728	PANCL385
PAN3136	398	pan_3136	PANCL13812
PAN3174	311	pan_3174	PANCL3174
PAN3587	185	pan_3587	PANCL8
PAN9415	109	pan_9415	PANCL6146
PAN10143	171	pan_10143	PANCL7357
PAN8033	353	pan_8033	PANCL12755
PAN12125	268	pan_12125	PANCL12125
PAN9808	326	pan_9808	PANCL9559
PAN3688	258	pan_3688	PANCL2948
PAN6560	80	pan_6560	PANCL6560
PAN8287	276	pan_8287	PANCL11647
PAN4864	276	pan_4864	PANCL281
PAN2650	398	pan_2650	PANCL13812
PAN4967	121	pan_4967	PANCL13064
PAN6994	228	pan_6994	PANCL6625
PAN7878	220	pan_7878	PANCL7857
PAN13163	224	pan_13163	PANCL13163
PAN13592	351	pan_13592	PANCL12746
PAN9667	354	pan_9667	PANCL12755
PAN1062	287	pan_1062	PANCL1266
PAN990	271	pan_990	PANCL10748
PAN11872	296	pan_11872	PANCL6622
PAN1235	267	pan_1235	PANCL8432
PAN3821	275	pan_3821	PANCL1383
PAN10439	163	pan_10439	PANCL7449
PAN208	287	pan_208	PANCL1266
PAN12697	263	pan_12697	PANCL5280
PAN13462	307	pan_13462	PANCL7560
PAN11731	640	pan_11731	PANCL8755
PAN2296	367	pan_2296	PANCL4437
PAN5762	140	pan_5762	PANCL5762
PAN1593	287	pan_1593	PANCL1266
PAN11684	405	pan_11684	PANCL1673
PAN11955	297	pan_11955	PANCL7537
PAN8768	164	pan_8768	PANCL9618
PAN7000	423	pan_7000	PANCL6622
PAN7806	324	pan_7806	PANCL7806
PAN11557	85	pan_11557	PANCL11557
PAN4300	245	pan_4300	PANCL6947
PAN4608	280	pan_4608	PANCL4236
PAN1573	275	pan_1573	PANCL1383
PAN576	275	pan_576	PANCL1383
PAN12276	446	pan_12276	PANCL12276
PAN9166	289	pan_9166	PANCL5365
PAN9339	367	pan_9339	PANCL9813
PAN10658	679	pan_10658	PANCL10658
PAN7983	166	pan_7983	PANCL7983
PAN9406	216	pan_9406	PANCL9406
PAN12948	365	pan_12948	PANCL9813
PAN13255	269	pan_13255	PANCL12643
PAN8321	382	pan_8321	PANCL8002
PAN10119	379	pan_10119	PANCL10392
PAN13324	325	pan_13324	PANCL12776
PAN4707	382	pan_4707	PANCL8002
PAN10375	291	pan_10375	PANCL10011
PAN8044	297	pan_8044	PANCL7537
PAN12986	389	pan_12986	PANCL8002
PAN4251	178	pan_4251	PANCL11841
PAN405	287	pan_405	PANCL1266
PAN7373	164	pan_7373	PANCL9618
PAN2706	166	pan_2706	PANCL390
PAN11639	209	pan_11639	PANCL9601
PAN13614	377	pan_13614	PANCL12799
PAN2996	398	pan_2996	PANCL13812
PAN6321	353	pan_6321	PANCL6321
PAN13418	640	pan_13418	PANCL8755
PAN7869	377	pan_7869	PANCL7869
PAN5591	211	pan_5591	PANCL13412
PAN3758	293	pan_3758	PANCL1830
PAN5680	392	pan_5680	PANCL89
PAN4676	398	pan_4676	PANCL13812
PAN8196	173	pan_8196	PANCL8196
PAN1383	285	pan_1383	PANCL1383
PAN3972	275	pan_3972	PANCL1383
PAN12869	294	pan_12869	PANCL2388
PAN11917	257	pan_11917	PANCL8331
PAN4503	398	pan_4503	PANCL13812
PAN9086	398	pan_9086	PANCL13812
PAN3049	275	pan_3049	PANCL1383
PAN5578	147	pan_5578	PANCL1063
PAN200	287	pan_200	PANCL1266
PAN5753	351	pan_5753	PANCL5753
PAN1489	275	pan_1489	PANCL1383
PAN6665	293	pan_6665	PANCL4980
PAN5337	540	pan_5337	PANCL817
PAN4472	398	pan_4472	PANCL13812
PAN12556	425	pan_12556	PANCL12556
PAN2804	350	pan_2804	PANCL13763
PAN6686	402	pan_6686	PANCL6686
PAN9484	395	pan_9484	PANCL9484
PAN410	293	pan_410	PANCL1418
PAN12867	296	pan_12867	PANCL11645
PAN2273	275	pan_2273	PANCL1383
PAN13821	402	pan_13821	PANCL53
PAN3707	291	pan_3707	PANCL1830
PAN741	267	pan_741	PANCL12643
PAN3037	297	pan_3037	PANCL6752
PAN5181	866	pan_5181	PANCL5181
PAN9196	357	pan_9196	PANCL9227
PAN583	271	pan_583	PANCL10748
PAN13920	382	pan_13920	PANCL8002
PAN10556	292	pan_10556	PANCL144
PAN10235	356	pan_10235	PANCL12746
PAN10841	171	pan_10841	PANCL10841
PAN5850	378	pan_5850	PANCL8002
PAN2756	382	pan_2756	PANCL8002
PAN13859	295	pan_13859	PANCL10345
PAN7482	168	pan_7482	PANCL8755
PAN5092	211	pan_5092	PANCL13412
PAN3744	292	pan_3744	PANCL1266
PAN9043	159	pan_9043	PANCL10916
PAN2915	398	pan_2915	PANCL13812
PAN4710	398	pan_4710	PANCL13812
PAN6992	1052	pan_6992	PANCL5026
PAN8793	164	pan_8793	PANCL9618
PAN1051	275	pan_1051	PANCL1383
PAN4969	158	pan_4969	PANCL6117
PAN7363	173	pan_7363	PANCL9618
PAN883	287	pan_883	PANCL1266
PAN9021	189	pan_9021	PANCL7682
PAN2464	303	pan_2464	PANCL2022
PAN14053	160	pan_14053	PANCL14053
PAN3065	275	pan_3065	PANCL1383
PAN1171	296	pan_1171	PANCL10299
PAN8040	169	pan_8040	PANCL12075
PAN2164	267	pan_2164	PANCL8432
PAN1530	276	pan_1530	PANCL1383
PAN12004	143	pan_12004	PANCL7752
PAN13948	365	pan_13948	PANCL13948
PAN10020	256	pan_10020	PANCL8331
PAN4819	384	pan_4819	PANCL6368
PAN4892	227	pan_4892	PANCL2748
PAN12123	322	pan_12123	PANCL9055
PAN10309	168	pan_10309	PANCL10885
PAN5960	642	pan_5960	PANCL2911
PAN5892	274	pan_5892	PANCL1383
PAN12632	294	pan_12632	PANCL6752
PAN9085	167	pan_9085	PANCL10885
PAN968	184	pan_968	PANCL968
PAN9797	365	pan_9797	PANCL12799
PAN5538	264	pan_5538	PANCL8
PAN13885	156	pan_13885	PANCL13885
PAN2023	304	pan_2023	PANCL2022
PAN5693	308	pan_5693	PANCL7560
PAN10222	377	pan_10222	PANCL10126
PAN3381	384	pan_3381	PANCL6368
PAN10587	321	pan_10587	PANCL10587
PAN11460	215	pan_11460	PANCL2748
PAN12965	349	pan_12965	PANCL9559
PAN1281	287	pan_1281	PANCL1266
PAN11585	54	pan_11585	PANCL4880
PAN751	282	pan_751	PANCL1751
PAN3255	384	pan_3255	PANCL6368
PAN7320	640	pan_7320	PANCL8755
PAN146	292	pan_146	PANCL5365
PAN5572	264	pan_5572	PANCL8
PAN10211	160	pan_10211	PANCL9995
PAN9902	515	pan_9902	PANCL2624
PAN9025	168	pan_9025	PANCL10379
PAN4270	642	pan_4270	PANCL2911
PAN7384	166	pan_7384	PANCL9618
PAN698	246	pan_698	PANCL519
PAN6566	288	pan_6566	PANCL625
PAN13058	669	pan_13058	PANCL1787
PAN13510	248	pan_13510	PANCL11691
PAN8648	215	pan_8648	PANCL2748
PAN3545	275	pan_3545	PANCL1383
PAN4951	406	pan_4951	PANCL5707
PAN11637	214	pan_11637	PANCL11081
PAN651	142	pan_651	PANCL651
PAN11824	751	pan_11824	PANCL11824
PAN3844	287	pan_3844	PANCL1266
PAN216	287	pan_216	PANCL1266
PAN8489	292	pan_8489	PANCL5365
PAN2959	215	pan_2959	PANCL2748
PAN4267	220	pan_4267	PANCL1072
PAN12885	302	pan_12885	PANCL4078
PAN556	139	pan_556	PANCL651
PAN4644	275	pan_4644	PANCL1383
PAN3218	669	pan_3218	PANCL1787
PAN6993	406	pan_6993	PANCL6993
PAN6274	263	pan_6274	PANCL2410
PAN13696	297	pan_13696	PANCL7537
PAN914	287	pan_914	PANCL1266
PAN616	145	pan_616	PANCL9984
PAN6281	260	pan_6281	PANCL9391
PAN8150	184	pan_8150	PANCL8150
PAN10271	298	pan_10271	PANCL10299
PAN9385	313	pan_9385	PANCL13672
PAN6359	296	pan_6359	PANCL6359
PAN2944	640	pan_2944	PANCL8755
PAN292	409	pan_292	PANCL2815
PAN6133	640	pan_6133	PANCL8755
PAN10344	333	pan_10344	PANCL10323
PAN5751	158	pan_5751	PANCL7127
PAN2469	215	pan_2469	PANCL2748
PAN7174	466	pan_7174	PANCL7174
PAN2558	292	pan_2558	PANCL144
PAN13232	276	pan_13232	PANCL1383
PAN3289	287	pan_3289	PANCL1266
PAN11609	84	pan_11609	PANCL11495
PAN10267	166	pan_10267	PANCL10522
PAN11249	235	pan_11249	PANCL9256
PAN636	289	pan_636	PANCL11230
PAN62	287	pan_62	PANCL1266
PAN7127	177	pan_7127	PANCL7127
PAN7117	368	pan_7117	PANCL5502
PAN1140	292	pan_1140	PANCL5365
PAN13937	404	pan_13937	PANCL7752
PAN1702	391	pan_1702	PANCL287
PAN3046	380	pan_3046	PANCL13812
PAN9094	294	pan_9094	PANCL6752
PAN2368	215	pan_2368	PANCL2748
PAN7399	164	pan_7399	PANCL7357
PAN5269	113	pan_5269	PANCL5269
PAN1043	287	pan_1043	PANCL1266
PAN3154	293	pan_3154	PANCL1418
PAN11494	467	pan_11494	PANCL11600
PAN6519	584	pan_6519	PANCL6514
PAN10561	542	pan_10561	PANCL5757
PAN14009	164	pan_14009	PANCL9618
PAN9351	302	pan_9351	PANCL9323
PAN3171	265	pan_3171	PANCL490
PAN10630	287	pan_10630	PANCL1266
PAN9289	259	pan_9289	PANCL9289
PAN12437	398	pan_12437	PANCL13812
PAN13685	297	pan_13685	PANCL7537
PAN12602	292	pan_12602	PANCL144
PAN11126	135	pan_11126	PANCL11126
PAN11118	314	pan_11118	PANCL8356
PAN1837	275	pan_1837	PANCL1383
PAN4851	165	pan_4851	PANCL155
PAN8870	640	pan_8870	PANCL8755
PAN1131	288	pan_1131	PANCL3089
PAN1324	383	pan_1324	PANCL13812
PAN1946	284	pan_1946	PANCL1053
PAN4210	287	pan_4210	PANCL1266
PAN7130	411	pan_7130	PANCL7130
PAN10678	99	pan_10678	PANCL4108
PAN11643	297	pan_11643	PANCL7537
PAN308	79	pan_308	PANCL5900
PAN6751	246	pan_6751	PANCL519
PAN10394	271	pan_10394	PANCL10394
PAN551	382	pan_551	PANCL8002
PAN5477	264	pan_5477	PANCL8
PAN2911	655	pan_2911	PANCL2911
PAN7425	287	pan_7425	PANCL1266
PAN9859	106	pan_9859	PANCL9859
PAN11746	327	pan_11746	PANCL12776
PAN5864	76	pan_5864	PANCL5864
PAN9125	270	pan_9125	PANCL557
PAN11393	1045	pan_11393	PANCL5270
PAN7722	288	pan_7722	PANCL7722
PAN12401	298	pan_12401	PANCL9315
PAN3636	384	pan_3636	PANCL6368
PAN12218	92	pan_12218	PANCL12707
PAN5288	229	pan_5288	PANCL6625
PAN5897	153	pan_5897	PANCL6117
PAN2310	274	pan_2310	PANCL1383
PAN5943	351	pan_5943	PANCL2132
PAN4715	215	pan_4715	PANCL2748
PAN639	287	pan_639	PANCL1266
PAN1794	267	pan_1794	PANCL8432
PAN13518	640	pan_13518	PANCL8755
PAN8423	1045	pan_8423	PANCL5270
PAN2552	266	pan_2552	PANCL8
PAN5620	264	pan_5620	PANCL8
PAN7402	160	pan_7402	PANCL7353
PAN5999	331	pan_5999	PANCL5999
PAN7179	407	pan_7179	PANCL1208
PAN4525	398	pan_4525	PANCL13812
PAN6137	203	pan_6137	PANCL1458
PAN12909	294	pan_12909	PANCL7362
PAN9933	325	pan_9933	PANCL12776
PAN11736	285	pan_11736	PANCL11736
PAN2087	306	pan_2087	PANCL3174
PAN2919	382	pan_2919	PANCL8002
PAN13257	274	pan_13257	PANCL1383
PAN12464	175	pan_12464	PANCL12464
PAN1184	292	pan_1184	PANCL5365
PAN8790	301	pan_8790	PANCL7401
PAN4626	300	pan_4626	PANCL2553
PAN695	287	pan_695	PANCL1266
PAN5838	286	pan_5838	PANCL4547
PAN2865	382	pan_2865	PANCL8002
PAN5297	406	pan_5297	PANCL5707
PAN3818	275	pan_3818	PANCL1383
PAN4698	276	pan_4698	PANCL281
PAN5070	264	pan_5070	PANCL8
PAN11774	473	pan_11774	PANCL5894
PAN3668	166	pan_3668	PANCL390
PAN2	382	pan_2	PANCL8002
PAN5937	147	pan_5937	PANCL1063
PAN8273	307	pan_8273	PANCL6752
PAN9359	378	pan_9359	PANCL8002
PAN8536	212	pan_8536	PANCL11081
PAN1284	274	pan_1284	PANCL1383
PAN5628	233	pan_5628	PANCL5428
PAN5265	391	pan_5265	PANCL5265
